title,context
"에어백을 장착하는 것이 오히려 사고시 위험하다는 이야기가 있던데, 정말인가요?","에어백의 역할은 치명적인 사고로부터 운전자와 탑승자를 좀더 안전하게 보호하는 것입니다.하지만 갑작스런 팽창시에는 가벼운 찰과상 등을 입을 수도 있습니다. 또한 정상 체중의 성인을기준으로 개발됐고 충격시 작동시간도 0.05초 정도밖에 되지 않기 때문에 간혹 작은 체구의 여성이나어린이에게 뜻밖의 충격을 입힐 수도 있습니다.따라서 조수석에 에어백이 설치된 차량에는 어린이나 작은 체구의 여성을 태우는 일은 삼가는 것이좋습니다. 이외에도 에어백을 좀더 안전하게 이용하기 위해 지켜야 할 일반적인 주의사항이있습니다.운전대에 너무 가깝게 다가선 자세로 운전한다거나 에어백이 장착된 공간 위에 손이나 발, 물건 등을올려놓는 것은 피해야 합니다. 만일의 경우 손과 발에 의한 충격으로 에어백이 터질 수 있고, 에어백이작동될 때 올려놓은 물건에 의해 부상을 당할 수 있기 때문입니다. 그리고 """"안전벨트의 작용을 보조하여충돌 시에 탑승자의 충격을 경감시키는 것""""이라는 에어백의 원래 의미를 생각해 볼 때 무엇보다안전벨트를 착용하는 것이 에어백의 효과를 높이는 지름길일 것입니다.에어백을 장착한 차량은 그만큼 더 안전하다는 것을 의미하지만 사고시 100% 안전을 보장하는 것은아닙니다. 에어백은 어디까지나 안전 보조기구입니다. 따라서 무엇보다 중요한 것은 사고가 나기 전에운전자 자신이 안전운행을 하려는 노력을 기울이는 것입니다."
냉매량이 부족한지 에어컨 냉방성능이 떨어진 것 같습니다. 어떻게 하면 좋을까요?,"에어컨 바람은 정상적으로 나오지만 냉방이 안 되는 경우에는 우선 바람의 온도가 어느 정도인지손으로 체크해 봅니다. 시원하지 않거나 더운 기운이 느껴지면 에어컨의 냉매가 부족해 찬 공기를내뿜지 못하는 상태입니다.에어컨 냉매는 소모되는 것이 아닙니다. 따라서 신차 출고 이후 3년 이내에 충격이나 사고가 없었는데이와같은 현상이 발생하면 차에 이상이 있는 것이니 정비공장을 방문하여 검사를 받아 보는 것이좋습니다. 정비공장에 입고하여 에어컨 냉매압 시험이나 형광물 투입법, 냉매 누출 센서기를 이용하여냉매 누출 여부를 확인하고 냉매를 채워주어야 합니다.위와 같이 냉매가 눈에 띄게 줄어들지는 않았더라도 에어컨 시스템에는 숨구멍이라는 것이 있어미세량이 빠져 나갈 수 있기 때문에 예방점검 차원에서 2~3년 주기로 냉매량을 점검해 주어야 합니다.또 여름철만 되면 냉매를 교환해야 되는 것으로 아는 운전자들이 많은데, 이는 잘못된 상식입니다.본격적인 여름철이 되기 전에 냉매의 누출 여부를 확인한 뒤 부족분만 채우면 됩니다.에어컨 관리를 잘 할수록 쾌적하고 시원한 여름을 보낼 수 있다는 것을 잊지 말아야 하겠습니다."
"오랜만에 에어컨을 켰는데, 냄새가 납니다. 어떻게 청소하면 좋을까요?","오랜만에 켠 에어컨에서 냄새가 나는 것은 바람이 방출되는 에어컨 내부 청소를 제대로 하지 않아,남아있던 수분과 먼지가 곰팡이 균으로 변했기 때문입니다.에어컨을 자주 사용하더라도 대부분 단순히 스위치 조작으로 작동시키는 것에만 신경을 쓸 뿐내부 청소에는 소홀하기 마련입니다.그렇다고 청소를 하려고 인스트루먼트 판넬(크러쉬패드)을 모두 떼거나 정비소를 방문해 청소하기는번거롭기만 합니다. 그래서 많이 사용하는 것이 스프레이 형식의 보조용품입니다.하지만 냄새 제거 효과가 오래 유지되지는 않습니다.더 큰 효과를 보려면 냄새의 원인인 차량 내부의 수분과 먼지가 차량 외부로 방출될 수 있도록환기를 시켜주어야 합니다. 에어컨을 환기시킬 때에는 차문을 전부 열고 히터 위치에서 송풍을고단에 놓는 것이 좋습니다. 이렇게 하면 쌓여 있던 먼지가 밖으로 방출이 되고,바람이 나오는방출구 내부가 마르면서 냄새가 제거됩니다.또 항균 필터(에어컨 필터)가 장착되어 있는 차량은 항균 필터 상태를 확인하고 자주 교환해 주는 것이좋습니다. 교환 주기는 주변의 대기환경 오염 정도에 따라 다르지만 평균 10,000～20,000km사이에교환해 주는 것이 좋습니다.★올바른 에어컨 사용요령 안내★①에어컨 스위치를 항상 켜놓지 맙시다.☞에어컨 스위치를 켜둔 상태에서 차 시동을 걸 경우, 에어컨 컴프레셔(압축기)를 함께 작동시키는과정에서 부하가 발생되고, 시동모터와 배터리에도 무리를 줄 수 있으므로 시동 후나 신호대기시켜는 것이 좋습니다.②목적지 도착 3분 전에 에어컨을 끄십시오.☞에어컨을 끌 때는 목적지 도착 2~3분 전에 미리 끄는 게 좋습니다.에어컨을 사용하면 외부와의 기온 차 때문에 에어컨 에바퍼레이터(증발기)에 응축수가 생깁니다.목적지 도착 2~3분 전에 에어컨 스위치를 끈채 바람만 나오게하면 공기통로에 남아있는 수분을건조시켜 곰팡이가 증식하는 것을 방지할 수 있습니다.그렇지 않으면 응축수가 먼지와 엉겨 곰팡이가 증식하게 되고 냄새를 유발하는 원인이 됩니다.아울러 에어컨을 꺼도 한동안 시원한 상태가 유지돼 조금이라도 연료를 아끼는 효과도 있습니다."
"겨울철 창문에 생기는 김서림, 신속히 제거하는 방법이 없을까요?","겨울철 차량 창문 안쪽 김서림으로 바깥이 보이지 않아 운전하는 데 장애가 된 적이 많으실 겁니다.아무리 닦고 닦아도 사라지지 않아 짜증을 낳는 김서림. 김서림은 대기 중에 포함되어 있는 수분과온도 때문에 생기는 현상입니다. 대기 중 수분은 찬 곳으로 이동해 열을 뺏으려는 성질이 있는데,차량 내부의 수분이 차가운 차창 주위 에 몰려 김이 서리게 되는 것입니다.특히, 겨울철에는 창문을 꼭 닫아 둔 채 오랜 시간 운행하는 경우가 많아 운전자와 탑승자의 호흡으로배출된 습기가 차 안의 습도를 더욱 높이게 됩니다.이러한 김서림을 없애기 위해선 차량 내부 온도와 바깥 온도를 같도록 유지시켜 주는 것이 가장 좋은방법입니다. 차장을 열고 신선한 공기를 유입시켜 안팎 온도를 순간적으로 맞춰 주면 금방 없어집니다.제습 기능을 하는 에어컨을 작동시켜 강제로 습기를 없애는 것도 좋은 방법입니다.현재 생산되는 차량들은 풍향을 창문이나 창문과 발 아래쪽으로 조정할 때 자동으로 에어컨이작동하도록 되어 있는데, 2000년 이전에 생산된 차량들은 에어컨을 수동으로 켜야 하기에 여러 번스위치나 컨트롤러를 작동해야 하므로 불편할 수 있습니다.이러한 불편함을 없애기 위해서는 김서림이 생기지 않도록 미리 예방하는 것이 가장 좋은 방법일 것입니다. 평소 차량 실내가 눅눅해지지 않도록 히터를 사용해 적정한 습도를 유지해 주는 것이중요하며 시중에 판매되고 있는 김서림 방지제를 이용하는 것도 한 방법입니다."
"자동변속기 차량의 HOLD, O/D OFF 버튼은 어떤 때 써야 합니까?","HOLD는 ‘잠근다’라는 표현이 적절한 것 같습니다.눈길이나 빙판길에서는 스노우 체인을 써서 출발하거나 주행하는 것이 큰 도움이 되겠지만스노우 체인을 당장 감고 운행할 수 없을 때는 회전력이 큰 1단 기어보다 2단 기어로 출발하는 것이타이어의 슬립을 줄여 출발을 쉽게 합니다.자동변속기는 모든 출발이 1단이고 사용자의 마음대로 변속을 할 수 없으므로 HOLD를 사용하면D상태에서 2단으로 출발하므로 운행을 쉽게 합니다. 또한 2, 1(L) 변속 레버를 변경시 HOLD를작동시키면 기어를 고정시켜 주는 구실을 합니다.O/D OFF는 ‘over drive off’ 즉 ‘높은 단수를 제어한다’는 의미입니다.D레인지 상태에서 언덕길 주행이나 급가속이 필요한 경우 O/D OFF를 쓰게 되면 4단으로 주행하던 것을 3단으로 내려 주행시키고 4단으로는 변속이 되지 않게 하는 구실을 합니다.간혹 D레인지 상태에서 언덕길을 주행하다 보면 60km이상에서 엔진에 힘이 떨어지고 가속 페달을 깊게밟아도 차량이 탄력을 받지 않는 것을 경험하셨을 것입니다. 수동변속기 차량이라면 운전자가 직접변속을 제어할 수 있지만 자동변속기 차량은 컴퓨터의 신호에 따라 변속이 되므로 적절한 변속을이룰 수 없는 경우가 있기에 O/D OFF를 쓰면 운행이 쉬워집니다.또한 HOLD의 기능과 같이 2(2단 출발 2단 주행), 1(L:1단 출발, 1단 주행)에서 기어를 고정시켜 주는일을 합니다. 자동변속기 차량을 잘 알고 쓰면 수동변속기보다 더 편하고 경제성 있게 운행할 수있음을 잊지 말아야 합니다."
블루투스 등록 방법,"블루투스 휴대폰 등록(AVN)1. 스티어링 리모트 컨트롤의 “통화”버튼 또는 헤드유닛의 “PHONE” 버튼을 누릅니다.2. ”신규기기 검색” 메시지 창이 표시되면, “예”버튼을 선택 합니다.3. 폰 신규 검색창이 표시되면, 주변에 있는 블루투스 휴대폰을 검색합니다.4. 검색목록 화면에서 연결을 원하는 리스트를 선택합니다. 만약 검색결과가 표시되지 않으면 “재검색”버튼을 누릅니다.5. 블루투스 휴대폰에서 인증번호를 입력한 후 블루투스 휴대폰의 “확인”버튼을 누르면 헤드유닛과 연결됩니다.6. 인증번호 입력이 되지 않거나 등록에 실패할 경우 “재시도” 메시지 창이 표시됩니다. “예” 버튼을 선택하여 등록을 재시도 합니다.블루투스 휴대폰 등록1. “SETUP” 키를 누르십시오.2. “PHONE” 메뉴를 선택하십시오.3. “PAIR”를 선택하십시오.4. 폰의 이름을 말씀하십시오. (예: 홍길동, 현대/기아 자동차 등)5. 블루투스 등록 모드 화면으로 변경되며 이전 연결된 폰은 연결 해제됩니다.6. 블루투스 휴대폰을 이용하여 핸즈프리 기기를 검색 하십시오.※ 블루트스 등록방법은 휴대폰 제조사 마다 상이하므로 휴대폰 설명서를 참조하십시오.7. 블루투스 휴대폰에 비밀번호 요구 시 블루투스 등록 모드에 표시된 인증번호(“0000”)를 입력하십시오.8. 등록과정이 종료되면 “등록이 완료 되었습니다.” 또는 “등록이 실패하였습니다.”라고 음성안내를 합니다.※ 현대자동차 홈폐이지 > 고객서비스 > 차량 관리 서비스 > 스마트기기 연계 서비스 > 블루투스 호환 안내 바로가기 ▶"
"차량별 와이퍼 사이즈,핸들사이즈,전구 규격 사이즈 문의",취급설명서 8장 차량 제원편 확인 바랍니다.상세하게 수록되었습니다.※ 현대자동차 홈폐이지 > 하단 '자료실' 에서 차종별 취급설명서 검색 ▶바로가기
타이밍벨트 체인 적용 여부 문의,요즘 대부분 차량에서는 반영구적인 타이밍 체인을 사용하고 있습니다.고객님 차량에 타이밍벨트가 적용될 경우 취급설명서 7장 정기점검편에 점검주기가 수록되어 있습니다.취급설명서를 확인 하십시오.※ 현대자동차 홈폐이지 > 하단 '자료실' 에서 차종별 취급설명서 검색 바로가기 ▶
"<selenium.webdriver.remote.webelement.WebElement (session=""e7bc5a525c3608041f0d2e6e75c64e3d"", element=""f.103635AE92EE001737BCF6639E0FAB3C.d.7713D1CD146614F265ED65DC365BB5EB.e.26"")>","세차장까지 차를 주행하게 되면 엔진룸의 열이 헤드램프의 뒷면을 뜨겁게 만듭니다.이때 차가운 물로 세차를 하면 헤드램프 표면과 내부의 온도차에 의해 내부에 습기가 생깁니다.단, 여름이 아닌 다른계절에는 램프가 많이 뜨거워지지 않아 습기 생성이 적어집니다.※ 습기는 유리의 내/외부 온도 차이에 의해 생기는 자연현상 입니다."
"<selenium.webdriver.remote.webelement.WebElement (session=""e7bc5a525c3608041f0d2e6e75c64e3d"", element=""f.103635AE92EE001737BCF6639E0FAB3C.d.7713D1CD146614F265ED65DC365BB5EB.e.41"")>","""헤드램프를 켜고 주행 시 램프 내부의 온도는 상승하나 렌즈 표면은 빗물에 의해 온도가 떨어져램프 내/외부의 온도 차이로 내부에 습기가 생깁니다.""※ 습기는 유리의 내/외부 온도 차이에 의해 생기는 자연현상 입니다."
"<selenium.webdriver.remote.webelement.WebElement (session=""e7bc5a525c3608041f0d2e6e75c64e3d"", element=""f.103635AE92EE001737BCF6639E0FAB3C.d.7713D1CD146614F265ED65DC365BB5EB.e.46"")>","<공칭용량>주요 제원표에 기재된 연료탱크 용량을 의미하며, 연료탱크마다 안전을 위해 약 10% 정도의팽창공간을 두며, 팽창 공간을 제외한 연료탱크의 용량을 ""공칭 용량""이라고 부릅니다.(*LPG는 법규상 85%까지만 충전)*팽창 공간을 두는 이유는 아래와 같습니다.① 대기온도에 따른 연료 부피의 변화에 의한 연료의 누유 등을 막기 위함② 언덕주차 시 연료 누유 방지③ 팽창공간은 안전공간 (모든 연료탱크 적용)"
"<selenium.webdriver.remote.webelement.WebElement (session=""e7bc5a525c3608041f0d2e6e75c64e3d"", element=""f.103635AE92EE001737BCF6639E0FAB3C.d.7713D1CD146614F265ED65DC365BB5EB.e.28"")>","[핸드/풋 파킹 브레이크 적용 차량]① 주차브레이크를 작동시키고, 브레이크 페달을 밟은 상태에서 「P」 (주차) 위치에 두고 엔진을 정지시키십시오.스마트 키 장착 차량은 「P」 (주차) 위치에서만 시동을 끌 수 있습니다.「P」 (주차) 위치가 아닌 곳에서 시동 버튼을 누르면 「ACC」 상태로 됩니다.② 바퀴에 고임목을 설치하십시오.③ 주차 브레이크를 해제하십시오.④ 브레이크를 밟고, 변속레버 앞쪽에 위치한「SHIFT LOCK RELEASE」버튼(버튼커버가 있을 시 열고 키를 꽂아 누르고)누르고 자동변속기의 위치를「N」(중립)위치로 변속하십시오.「P」(주차) 위치는 변속기가 잠기는 위치로 차량을 쉽게 움직일 수 없는 위치 입니다.[전자 파킹 브레이크 적용 차량]① 주차 블레이크 스위치를 당긴후 5초이내에 주차 브레이크 해제된 상태로 브레이크 페달을 밟은 상태에서 변속레버를 「P」(주차)위치에 두고 시동을 끄십시오.② 바퀴에 고임목을 설치하십시오.③ 브레이크를 밟고, 변속레버 앞쪽에 위치한「SHIFT LOCK RELEASE」버튼(버튼커버가 있을 시 열고 키를 꽂아 누르고)누르고 자동변속기의 위치를「N」(중립)위치로 변속하십시오.「P」(주차) 위치는 변속기가 잠기는 위치로 차량을 쉽게 움직일 수 없는 위치 입니다.※ 단,위와 같은 비상시 주차를 제외하고는 항상 안전을 위하여 「P」(주차) 위치에 놓고 주차 브레이크를 작동 하십시오."
"<selenium.webdriver.remote.webelement.WebElement (session=""e7bc5a525c3608041f0d2e6e75c64e3d"", element=""f.103635AE92EE001737BCF6639E0FAB3C.d.7713D1CD146614F265ED65DC365BB5EB.e.53"")>","아닙니다.에어컨 냉매가스는 새어나가지 않는다면 영구적으로 사용할 수 있습니다.큰 충격이나 마모 또는 연결부위 O-링 손상 등의 문제로 에어컨관련 부품 이음새 등이 파손되지않는 한 냉매가스가 새는 경우는 많지 않습니다.차를 오래타다 보면 조금씩 자연적으로 없어지지만 이는 매우 적은 양입니다. 따라서 매년 에어컨냉매를 보충해야 할 필요는 없는 것입니다.에어컨을 2,3단으로 작동시켜 손바닥을 이용하여 냉기를 느낄 수 있으면 문제가 없다고 보시면 됩니다.에어컨 냉매가스가 없어 에어컨이 시원하지 않으면 냉매가스 누출 원인을 확인하여 가스가 누출되는원인을 수리하고 냉매가스를 완충하면 됩니다."
"<selenium.webdriver.remote.webelement.WebElement (session=""e7bc5a525c3608041f0d2e6e75c64e3d"", element=""f.103635AE92EE001737BCF6639E0FAB3C.d.7713D1CD146614F265ED65DC365BB5EB.e.58"")>","●에어컨 작동은 1단부터 작동하기 보다는 최고단수부터 작동하는 것이 좋습니다.☞에어컨을 처음 틀때 1,2단이 아닌 3,4단부터 시작하는 게 냉각효율과 에너지 절약에 도움되며,공기순환 모드를 잘 활용하면 냉방효과를 더욱 높일 수 있습니다.차내 급속 냉방을 위해서는 내기순환 모드에서 에어컨을 가동하고, 최고단수로 5분 정도 작동한 뒤조정하는 게 효과적입니다.●에어컨 콘덴서(응축기)를 청소합시다.☞엔진오일 교환이나 세차 때 정비사에게 에어컨 컨덴서(응축기) 외부에 붙어있는 벌레,이물질,먼지등을 압축공기나 고압세차기로 청소해달라고 부탁하면 10% 정도의 냉각효을 상승 효과를 기대할 수 있습니다.콘덴서는 라디에이터 앞에 설치돼 차량속도와 냉각팬에 의해 기체상태의 냉매를 고압의 액체상태로만드는 장치로, 이물질이 붙어 있으면 공기가 잘 통하지 못해 냉각효율이 떨어집니다.●차 안의 열을 식힌 후 에어컨을 사용하세요.☞강한 여름볕에 장시간 주차했을 때 실내도는 80도 가까이 올라간다고 합니다.이런 차 안에서 바로 에어컨을 작동시켜도 에어컨 효과를 보기가 어렵습니다. 우선, 차문 한쪽을 열고반대쪽 문을 열었다 닫었다를 수 차례 반복하여 실내의 더운공기를 배출하여 열을 식힌 후 에어컨을켜야하며, 주차는 그늘을 찾아서 주차하는게 좋습니다.●실내 에어필터를 점검하고 교환합시다.☞요즘 차들은 대부분 실내 에어필터가 달려 나옵니다.하지만 자신의 차량에 에어필터가 달려 있는지 조차 모르는 운전자도 적지 않습니다.실내 에어필터를 제때 갈아주지 않으면 퀴퀴한 냄새뿐 아니라 바람까지 약하게 나옵니다.항균필터가 달린 차라면 국내여건상 봄에는 황사, 여름에는 에어컨 사용, 겨울에는 히터를 사용하기 전최소한 1년에 3번 정도는 필터 점검이 필요하며, 오염이 심할경우 교환해주고 매 15,000km 마다교환하도록 되어 있습니다.항균필터를 떼어낸 후 바람을 최대한으로 돌리면 공기 통로에 있는 먼지를 털어 낼 수 있습니다.^^"
"<selenium.webdriver.remote.webelement.WebElement (session=""e7bc5a525c3608041f0d2e6e75c64e3d"", element=""f.103635AE92EE001737BCF6639E0FAB3C.d.7713D1CD146614F265ED65DC365BB5EB.e.164"")>","타이어 전체에 체인을 사용 하셔야 하지만, 체인이 2개 뿐인경우 차량의 구동바퀴쪽에 체인을사용 하셔야 합니다.*전륜구동차량 : 앞바퀴*후륜구동차량 : 뒷바퀴*4륜(4WD 구동차량) : 네바퀴 모두 사용"
"<selenium.webdriver.remote.webelement.WebElement (session=""e7bc5a525c3608041f0d2e6e75c64e3d"", element=""f.103635AE92EE001737BCF6639E0FAB3C.d.7713D1CD146614F265ED65DC365BB5EB.e.169"")>","엔진의 정상적인 작동을 제어하는 엔진 전자 제어장치나 배기가스 제어에 관계되는 각종 센서에이상이 있을때 엔진 경고등이 점등됩니다.주행중에 점등되면 가능한 빨리 저희 하이테크센터 또는 서비스 협력사에 정비를 의뢰하십시오.일반적으로 견인은 하지 않아도 됩니다. 그러나 가능한 빨리 정비를 의뢰하십시오.단, 일부 엔진 제어 장치 고장시에는 엔진이 시동되지 않을 수도 있으니 이 때에는 견인하십시오.※ 주의 : 엔진 체크 경고등이 점등 또는 점멸된 상태로 계속 주행하면, 운전성능과 연료소비에 영향을주는 배기 제어 계통에 손상을 가져올 수 있습니다. 또한 배출가스 규제와 관련된 제재조치를받으실 수도 있으므로 가까운 하이테크센터 또는 서비스 협력사에 점검 및 정비를 받으십시오."
"<selenium.webdriver.remote.webelement.WebElement (session=""e7bc5a525c3608041f0d2e6e75c64e3d"", element=""f.103635AE92EE001737BCF6639E0FAB3C.d.7713D1CD146614F265ED65DC365BB5EB.e.174"")>","연료 부족 경고등이 점등되면 연료를 바로 보충 하십시오.대략 20~30 Km 정도 여유는 있습니다만 도로조건이나 운행여건, 차종에 따라 다르므로정확한 운행 키로수를 측정해드리긴 어렵습니다.연료가 완전 소모되어 운전할 경우 엔진 및 연료장치에 고장을 일으킬 수 있으므로,경고등이 점등되기 이전에 연료를 충전하여 사용하시기 바랍니다."
"<selenium.webdriver.remote.webelement.WebElement (session=""e7bc5a525c3608041f0d2e6e75c64e3d"", element=""f.103635AE92EE001737BCF6639E0FAB3C.d.7713D1CD146614F265ED65DC365BB5EB.e.179"")>",취급설명서 8장 차량제원편 전구의 용량 확인바랍니다.전구 용량에 도어커티시 램프 규격이 수록되어 있으면 해당함.※ 홈페이지 > 서비스 > 취급설명서
실 운행자 등록 방법은 어떻게 되나요?,내 차로 등록한 차량에 한하여 실 운행자 지정이 가능합니다.승상용 통합 회원으로 가입한 고객의 통합 이메일 ID 및 이름으로 검색 후 지정이 가능합니다.
차량을 판매한 경우 어떻게 하나요?,마이페이지에서 보유차량 삭제를 눌러주시면 더 이상 차량 정보 표출이 되지 않습니다.
내 차가 아닌 다른 차량이 보입니다.,"차량을 다른 운전자에게 판매하신 뒤에도 내 차 정보에서 지속하여 정보가 표출될 경우, 직접 내 차 정보에서 차량 삭제 기능을 통하여 삭제할 수 있습니다."
실 운행자 등록 시 사용 가능한 기능은 무엇인가요?,"실 운행자로 등록되신 경우에 정비예약, 수리 이력 확인 등 차량운행 시 필요한 기능 활용이 가능합니다."
내 차 정보가 안 보여요.,"현대닷컴 홈페이지 혹은 지점/대리점 방문을 통해서 실 운행자 등록 가능합니다.https://www.hyundai.com/kr/ko/service-membership/bluemembers/car-register/bluemembers-car-register중고차 구매 시 보유하신 차량이 조회가 되지 않는다면, 마이현대 앱 혹은 가까운 블루핸즈 방문을 통해 인증을 받으셔야 합니다."
취급설명서는 어디서 다운 받나요?,취급설명서는 홈페이지 디지털/고객지원 > Help Desk > 사용설명서 다운로드(자료실)에서 다운로드가 가능합니다.https://www.hyundai.com/kr/ko/digital-customer-support/helpdesk/download-center
내비게이션 시스템 업그레이드는 어디서 하나요?,디지털/고객지원 > 업데이트 > SW업데이트 (내비/캠)에서 확인 가능합니다.https://www.hyundai.com/kr/ko/digital-customer-support/update/navigation-update
"계정 통합 시, 선택하지 않은 계정은 어떻게 되나요? 가입 정보 (이름, 생년월일 등)도 통합되나요?","· 선택하지 않은 계정은 자동으로 탈퇴처리 됩니다. 이후 ID 찾기 진행하시면 검색되지 않습니다.· 이름, 생년월일 등 가입정보가 다를 경우, 최근 본인인증 받은 정보로 업데이트/수정 됩니다."
"저는 5개 ID를 가지고 있는데, 계정 통합 화면에는 왜 2개 ID만 표시되는 건가요?","· 계정 통합은 2개 ID를 대상으로만 진행됩니다. (① 현재 로그인하려는 ID, ② 기존에 현대닷컴 가입된 ID)· 이후 제 3의 ID로 로그인 하실 경우, 다시 한 번 본인 인증과 계정 통합 절차가 진행됩니다."
"기존에 이미 사용하고 있던 ID인데, 왜 다시 본인 인증과 계정 통합을 해야 하나요?","· 여러 개 ID 보유한 고객으로 ID 혼란으로 인한 고객 문의가 많이 발생하고 있습니다. 이에 회원 1명 당 1개의 ID만 이용할 수 있도록 변경되었습니다.(블루링크 등 현대자동차 타 서비스 동일)· 기존에 여러 개 ID를 보유하셨던 고객이라면, ID 통합을 위해서 본인인증과 계정 통합을 진행해주세요. 통합된 ID로 현대닷컴, 블루링크, 디지털 키, 마이현대에서 동일하게 사용 가능합니다.※ 디지털 키에 가입하신 고객이라면 ‘휴대폰 인증’을 통해 본인인증 받으셔야 서비스 이용이 가능합니다. (아이핀 인증 시, 이후 휴대폰 본인인증 재 요청됨)· 계정 통합 절차를 진행하지 않으시면 해당 ID로 서비스 이용이 불가합니다. (필수)"
이메일 인증 받지 않으면 가입이 안 되는 건가요? 가입 절차가 너무 번거롭습니다.,"· 오타 등으로 잘못된 이메일을 입력 하셔서, 향후 비밀번호 찾기 등이 진행되지 않는 경우가 많이 발생합니다.· 다른 사람의 이메일 아이디로 먼저 가입하여, 이후 이메일 소유자가 가입하지 못하는 경우가 발생하고 있습니다.· 이런 부작용을 방지하기 위하여 다소 번거롭지만, 본인 이메일 임을 인증하는 절차가 추가되었습니다.· 반드시 본인 이메일로 가입을 부탁드리며, 타인 이메일 및 타인 정보로 무단 가입 시 회원 자격이 해지될 수 있습니다."
"이미 가입되어 있는 ID가 있다고 하는데, 아이디를 바꾸고 싶어요. (사용하지 않는 ID, 퇴사한 회사의 ID 등)","· 계정 변경은 불가하며,’ 탈퇴 후 재가입’ 부탁 드립니다.· 현대통합계정은 임의로 변경되지 못하게 관리하고 있습니다. ID 변경을 원하실 경우 ‘통합계정 탈퇴’ 이후 재가입해주셔야 합니다.(단, 계정 탈퇴 시 가입하신 서비스가 함께 탈퇴되니 유의사항을 꼭 확인해주세요.)※ 계정 탈퇴 하는 법현대닷컴 로그인 > 마이페이지 > 개인정보수정 > 현대닷컴서비스탈퇴 탭 > 두 개 버튼 중 아래 ‘현대자동차 통합계정 탈퇴’ 버튼 클릭"
"본인 명의 폰도 없고, 아이핀 발급받기 번거로운데 꼭 본인인증을 받아야 하나요?","· [기존] 본인 인증만 받으면 이메일 여러 개 가입 가능 >>> [1인1계정 적용] 처음 본인인증 받아 가입한 계정 外, 다른 계정은 생성되지 않도록 변경되었습니다.· 기존에는 여러 ID가 생성되어 고객 혼란이 심했습니다. 이에 1인 1아이디 정책을 적용하여 이후 여러 개 ID를 검색/PW 초기화 해야하는 번거로움을 줄이려고 합니다.본인 인증은 이 정책을 위해 필요한 절차이므로 최초 1회만 본인인증 해주시면 되겠습니다. (이후에는 본인인증 정보 보관/저장함)"
"""예상하지 못한 오류가 발생했습니다."" 메시지가 표시됩니다.","시스템에서 작업 오류가 발생하는 경우 표시됩니다. 1시간 후에도 동일한 메시지가 보이는 경우에는 다음 방법 중 하나를 시도해 주세요.· 브라우저의 쿠키와 캐시를 삭제하세요· 다른 브라우저를 사용하세요. 예를 들어, 인터넷 익스플로러를 사용하고 있다면 크롬 또는 Safari를 이용해서 접속하세요. 브라우저가 최신 버전이 아닌 경우에는 이용에 제한이 있을 수 있습니다.제시된 모든 방법으로도 해결되지 않는다면 홈페이지 Q&A 및 고객센터로 문의주세요. 문제화면의 스크린샷을 첨부하시면 원인파악에 도움이 됩니다."
현대닷컴 로그인 계정을 변경하고 싶습니다.,"계정 변경은 불가하며, ‘탈퇴 후 재가입’ 부탁 드립니다.현대닷컴 계정은 임의로 변경되지 못하게 관리하고 있습니다.ID 변경을 원하실 경우, ‘통합계정 탈퇴’ 이후 재가입해주셔야 합니다.(단, 계정 탈퇴 시 가입하신 서비스가 함께 탈퇴되니 유의사항을 꼭 참고해주세요)※ 계정탈퇴 하는 법현대닷컴 로그인 → 마이페이지 → 개인정보수정 → 현대닷컴서비스탈퇴 탭 → 최하단 ‘현대자동차 통합계정 탈퇴’ 링크 클릭"
휴대폰 인증 SMS가 오지 않습니다.,"휴대폰 번호를 정확하게 입력해주세요.현대닷컴에서 이메일 계정 입력 시 종종 오타로 인해 SMS 발송이 실패하는 경우가 있습니다.핸드폰 번호는 공백 및 특수문자 (-) 없이 숫자만 입력 부탁 드립니다. (ex. 01012345678 (O), 010 1234 5678 (X), 010-1234-5678 (X) )휴대폰에서 번호를 차단하셨나요?차단 설정, 통신사 정책 등으로 인증 SMS가 발송되지 않는 경우가 있습니다.보유하신 휴대폰에서 메시지 App. > 설정 > 메시지 차단/스팸번호를 확인 부탁 드립니다.※ 자세한 설정 방법은 휴대폰 제조사 홈페이지를 참고해주세요.만약 차단하지 않은 경우에도 SMS가 수신되지 않을 경우, 각 이동통신사로 확인 부탁 드립니다.(휴대폰인증보호 서비스 가입 등 확인 필요)"
로그인 시 비밀번호가 맞지 않다고 합니다.,"비밀번호 찾기를 통해 비밀번호 재설정을 해주세요.① 로그인 창에서 “아이디 확인 및 비밀번호 초기화” 클릭② “이메일로 비밀번호 초기화” 클릭③ 생년월일과 현대닷컴에 가입한 이메일 입력④ 이메일로 발송된 인증번호를 10분 내에 입력(도착하지 않았을 경우, 입력 주소와 스팸메일함 확인)⑤ 신규 비밀번호 입력 후 다시 로그인※ “이메일로 비밀번호 초기화”를 이용해주세요- 모바일로 비밀번호 초기화를 진행할 경우, 최종적으로 로그인했던 ID에 대해서만 진행하게 됩니다. (일괄변경 X)- 여러 개의 통합아이디를 보유하신 고객은 해당 메뉴로 PW 변경이 어려우니, 이메일로 비밀번호 초기화를 이용해주세요."
